time,Unnamed: 0.1,Unnamed: 0,空调光期温度设定,空调暗期温度设定,空调温度上限设定,空调温度下限设定,新风机手动开度,新风机手自动模式,空调自动模式,户外温度,户外湿度,1号室内温度,1号室内湿度,1号室内CO2浓度,2号室内温度,2号室内湿度,2号室内CO2浓度,1号PPFD,1号色温,1号PAR,1号红比,1号绿比,1号蓝比,2号PPFD,2号色温,2号PAR,2号红比,2号绿比,2号蓝比,3号PPFD,3号色温,3号PAR,3号红比,3号绿比,3号蓝比,1号风速,2号风速,营养液EC,营养液PH,营养液液温,空调手动开关机,空调开机指令下发,空调手动模式选择,空调风速选择,空调手动温度设定,空调手动操作指令下发,空调手自动切换,电磁阀手自动选择,电磁阀手动开阀,电磁阀手动关阀,平均温度,平均湿度,灯具负荷,自然负荷,新风负荷,总热渗入量,plant 1,plant 1 diff,plant 2,plant 2 diff,plant 3,plant 3 diff,plant 4,plant 4 diff,plant 5,plant 5 diff,plant 6,plant 6 diff,plant 7,plant 7 diff,plant 8,plant 8 diff,plant 9,plant 9 diff
2023-04-11,4343.5,4343.5,22.48244994417644,18.0,19.5,18.5,8.083810888252149,0.0,1.0,20.173499279514083,92.3128322830856,23.359670476448915,76.905372532186,836.7772206303725,23.09749291072944,77.39964183217134,824.4606017191977,122.59073058235056,6724.834732186829,27.654410570914614,12.737198065208501,83.57460553188379,3.6881372807360653,101.18932080795098,6412.7668422054085,22.73641172675069,13.623543901908022,82.59897936517666,3.7774569516878755,77.34913637333504,11803.152648051351,17.39042199897996,17.652434933834567,77.80382929968629,4.543816196542756,0.00014326647777953598,0.00845272202887986,1.695952745512085,5.699040092506518,23.54684804981964,0.9992836676217765,0.0014326647564469914,2.25,3.3939828080229226,22.598710620300817,0.10816618911174786,0.0,0.0,0.0,0.0,23.228581693589177,77.15250718217867,0.0,-2.17841887765021,-1.7322333741638527,-3.9106522518140627,108.21053724928368,0.1289010989010977,147.8732163323782,0.1534254143646422,118.21211318051574,0.26033149171270853,133.79392550143268,0.14171270718231813,107.41762893982809,0.02132596685082904,,,162.64618911174787,0.25033149171270674,137.75737106017192,-0.0020994475138152702,139.20547994269342,0.15061111111110928
2023-04-13,6989.5,6989.5,23.608827967719645,19.331259220967933,19.5,18.5,16.425470332850942,0.0,1.0,15.930339476479118,90.67461071759678,22.95057888831485,66.64717803436147,432.5231548480463,22.76208389547213,67.28277849288477,427.9435600578871,118.91771370349869,6756.276739934764,26.838078913840906,12.678890223441007,83.64195408800404,3.6791523187791904,97.60837110598854,6413.744222947382,21.934346528370714,13.617065042559213,82.6210623215318,3.761890439842268,74.48664133780125,15997.375631020486,16.750841187846923,17.761475299443248,77.67084001080173,4.56766220077592,0.0,0.01107091168763841,1.6368161971248179,6.137105646768286,22.098335757441877,1.0,0.0,2.5057887120115776,3.1107091172214183,22.93950797438449,0.085383502170767,0.0,0.0,0.0,0.0,22.85633139189349,66.96497826362312,0.0,-4.93856122030643,-3.906045568221113,-8.844606788527543,124.90698263386398,1.571903039073806,135.31846599131694,12.094833574529668,109.26192474674383,17.072112879884223,154.35452243125903,2.5381476121562963,119.80321273516643,2.291208393632415,,,166.03321273516642,0.6719464544138901,162.80565123010132,1.7131837916063721,143.70492764109986,-1.2845730824891537
2023-04-15,8926.0,8926.0,23.45213913653052,19.563550468481097,19.5,18.5,6.727416798732171,0.0,1.0,19.47224248532448,90.0208347640967,23.2676703911009,73.62250385798289,745.6529318541997,23.043106181874705,74.18225051106062,743.8225039619651,118.18713884888935,6549.544469769897,26.66978980845417,12.982367134698785,82.8344725957952,4.18307417281645,116.17448267793924,5408.591179752501,26.114334263490136,12.636421134090272,73.86477060268874,3.6731964393198586,111.72672392171549,5869.792624012604,25.14192360959668,12.898769488992102,79.28000405775575,3.8593139538863195,0.0,0.024405705073933973,1.6097464485893915,6.255610185644328,23.039302644563367,1.0,0.0,2.3391442155309035,2.7321711568938194,22.84263073396758,0.09508716323296355,0.0,0.0,0.0,0.0,23.155388286487806,73.90237718452175,0.0,-2.6262579056550064,-2.381270528076818,-5.007528433731824,142.5056259904913,2.844738510301108,152.13594294770206,0.4201743264659332,129.91825673534072,-0.9116957210776516,169.87402535657685,2.642741679873215,132.95768621236132,2.339524564183832,,,161.1906022187005,-2.086925515055468,187.21472266244058,4.767163232963552,139.24809825673535,-0.6064500792393044
2023-04-21,16273.5,16273.5,23.137375973640605,18.633120140454448,19.5,18.5,27.94326241134752,0.0,1.0,16.116489847332026,89.98183099192084,23.519077928691893,79.85148939308546,801.2730496453901,23.06510630803751,80.68588648315863,772.3014184397163,118.15955092459917,6646.247540932513,26.71632920278266,13.097373124386403,82.68177092531894,4.220880739570509,98.16008529203303,5521.6225018007535,22.1015304226349,14.192746417404067,74.29935626848369,3.8483917354691957,75.72111279370976,17688.37756122562,16.998019411232395,20.93198174990661,73.73850704625988,5.32957604083609,0.002411347553662374,0.016950354487337966,1.2566524809979378,6.6722978006863425,23.47773068745931,1.0,0.0,2.2390070921985816,4.091489361702128,22.909148944016042,0.08226950354609928,0.0,0.0,0.0,0.0,23.2920921183647,80.26868793812204,0.0,-5.116545260354171,-3.9971912014784876,-9.113736461832657,125.80921276595744,-1.0442411347517735,150.02808510638297,0.9716879432624141,111.64051773049646,-0.6778723404255347,61.922276595744684,-2.3891347517730512,108.19921985815603,-1.4844893617021258,,,158.49253191489362,-1.4402553191489333,167.45641134751773,-1.7477092198581583,141.334,-0.7094042553191512
2023-04-26,23297.5,23297.5,23.03528142353845,19.2888887220991,19.5,18.5,5.988455988455988,0.0,1.0,17.359839897651177,90.89261391875031,23.548845668203732,81.11075038001651,800.1212121212121,23.25331881276801,80.88694081437193,776.3001443001443,106.00644762393102,6657.250728546627,23.97788973234397,12.9152101538054,82.82884102603919,4.255966814737471,102.40857424522169,5514.723800152755,23.00064507005454,13.782202759174385,75.71233497278342,3.7994587335407646,68.59459710453636,17642.945104293492,15.434973101778537,21.740951220882575,72.76765966208983,5.347130738811575,1.0915584633876751,0.5014429983574075,1.752842710045681,4.967546950859081,23.458802330545534,1.0,0.0,2.383116883116883,3.5757575757575757,22.82373738529706,0.08585858585858586,0.0,0.0,0.0,0.0,23.401082240485874,80.99884559719422,0.0,-4.307692749452422,-4.048559139273989,-8.35625188872641,121.73045454545455,-3.249574314574312,131.63598845598847,2.2364935064935074,111.5470634920635,0.21280663780663994,57.25794372294372,-1.1680230880230877,107.5668759018759,-2.0478571428571426,,,143.93829725829727,-2.939790764790762,184.2294660894661,3.524422799422802,116.86309523809524,1.9934704184704204
2023-04-28,26080.0,26080.0,16.04149048793394,18.01869945790839,19.5,18.5,15.558802045288532,0.0,1.0,22.764217014466002,89.60347058983768,19.37699050568942,69.7839299070304,542.4127100073046,16.9929875812015,76.69474074403416,556.5697589481373,70.3322430635082,6864.413152991463,15.867330568421488,12.545830978800382,84.02218737159879,3.4320824640871748,57.159406944205934,6719.1300101436955,12.834439822918224,12.883725460991535,83.59581252795401,3.520536449897716,32.214483285163595,7124.843146871005,7.221601355012705,15.347800658165408,80.5585095312928,4.093765135661279,1.0888239802715114,0.581811536721194,0.7218699898500025,5.595325116087173,18.372754036378826,1.0,0.0,1.1548575602629656,5.994156318480643,16.32490889463571,0.0664718772826881,0.0,0.0,0.0,0.0,18.184989043445462,73.23933532553228,0.0,3.2652070566662674,3.427548596002668,6.692755652668935,1.498509861212564,-0.13639152666179696,71.59933528122718,14.734390065741412,34.74119065010957,15.906311176040905,1.5125931336742147,0.2968809349890431,2.7307962016070126,-0.3519284149013878,,,55.456997808619434,15.967662527392255,1.2348867786705626,-0.13041636230825407,54.3327392257122,12.080818115412708
2023-04-29,27457.5,27457.5,17.45938016635515,16.54761923752822,19.5,18.5,10.678210678210679,0.0,1.0,17.60112263595559,94.64038064469507,18.947979832108402,72.72655127058813,550.4336219336219,18.531096651096536,74.09891773405529,544.0822510822511,8.023146911961003,7939.318281165449,1.8076107568103514,10.283852864825537,86.74330136407849,2.9728441413862883,7.263875234522689,7754.012073511341,1.6316763122940992,10.777440416520465,86.0345472690863,3.1879963850734208,7.018326381928305,7647.662322161345,1.5758395735792612,10.97395901521735,85.5124536709696,3.513678732716504,1.0771284455172772,0.6045454510878691,0.0199999995529651,5.630000114440918,17.600000381469727,1.0,0.0,2.272005772005772,5.109668109668109,17.763059683520385,0.10245310245310245,0.0,0.0,0.0,0.0,18.73953824160247,73.41273450232171,0.0,-0.8117444015674936,-0.3628621457833287,-1.1746065473508223,0.3092279942279942,-0.9113059163059164,212.142683982684,110.89201298701298,189.88234487734488,123.08712842712843,4.59570707070707,2.2655555555555553,0.3696320346320347,-1.7281962481962483,,,209.05154401154402,121.73098845598845,0.1827777777777778,-0.7775757575757576,173.0666666666667,94.00798701298702
2023-04-30,28843.0,28843.0,23.144909769877632,19.450613939030507,19.5,18.5,12.563176895306858,0.0,1.0,18.22562972526688,80.90449353710409,24.024404354990605,55.474945817527356,524.6324909747292,23.455812297228874,56.90043320363179,522.9906137184115,0.4034310091703807,7876.158117102888,0.09370849752254,10.369662647040743,86.58964134794711,3.0406714391191945,0.5461135649616538,7667.223662779219,0.1267871515280718,10.883699103124735,85.87770781258814,3.238602918494049,0.39410238247163026,7597.35062471796,0.09321453854683716,10.999452140615304,85.44936707424343,3.5512689492332377,1.0836823304207317,0.6575451230744592,0.0199999995529651,5.630000114440918,17.600000381469727,1.0,0.0,2.366787003610108,4.1472924187725635,23.12339351667824,0.16895306859205775,0.0,0.0,0.0,0.0,23.740108326109738,56.187689510579574,0.0,-3.9320851801344987,-2.9354982381278436,-6.867583418262343,0.42891696750902525,0.004317689530685928,220.48651985559567,0.008072202166063448,199.55140794223828,-0.1347292418772589,4.347949458483755,-0.8587797833935017,0.21467148014440432,-0.034844765342960285,,,218.63947292418771,-0.8303249097472946,0.21527075812274366,0.01085920577617328,179.348202166065,0.016693140794224137
2023-05-01,30219.0,30219.0,22.900731144635113,21.54374564225951,19.5,18.5,5.92538405267008,0.0,1.0,21.955696746390846,75.3198560423108,24.35288958629728,53.24652520984128,513.1784930504755,23.56005850166148,55.343452805224004,513.3357717629847,0.39857212018600413,7884.507896082891,0.09241285903247147,10.351578240160883,86.61911199942242,3.0293111572670255,0.5401404108893025,7679.375241104494,0.12519091318668718,10.868898180338617,85.90217022173755,3.228974478909284,0.3859738429358342,7619.703019628406,0.09105372446880078,10.968079579513093,85.4929742150352,3.5389211939997978,1.086905653492412,0.6954645170791357,0.0199999995529651,5.630000114440918,17.600000381469727,1.0,0.0,2.312362838332114,3.1719092904169717,22.65552304204398,0.168983174835406,0.0,0.0,0.0,0.0,23.956474043979384,54.29498900753264,0.0,-1.426649250102262,-1.0773300985502439,-2.5039793486525057,0.6939941477688369,0.28912216532553037,219.82114850036578,0.07445501097293848,199.6014118507681,0.05015362106803587,4.790212143379664,-1.1475201170446232,0.3541258229700073,-0.12301389904901246,,,220.96178493050476,-1.3071616678858842,0.1213313825896123,-0.04087783467446964,180.59798098024874,-0.5691587417703021
2023-05-02,31605.5,31605.5,22.83356973694195,21.08264630346176,19.5,18.5,4.907539118065434,0.0,1.0,19.973470590192598,86.55606429641311,24.00504982624081,53.70362730283995,488.85633001422474,23.330796616175775,55.60085345467667,488.5611664295875,0.40103295140212153,7912.3291692828725,0.09285692371968521,10.325659418173908,86.6427435623972,3.031691495419227,0.5379305100055202,7703.444352259846,0.12446536587426703,10.8454984960651,85.92316112274126,3.2311995965488265,0.3812238959592911,7656.4204712782275,0.08959732549119297,10.926747207451681,85.52767592168296,3.5456259001369665,1.0883357251860508,0.7287339928373164,0.0199999995529651,5.630000114440918,17.600000381469727,1.0,0.0,2.4630156472261735,3.388335704125178,23.219345665249342,0.45092460881934565,0.0,0.0,0.0,0.0,23.667923221208294,54.65224037875831,0.0,-2.634320212414165,-2.568192252988984,-5.202512465403149,0.319601706970128,-0.011116642958748226,220.55137980085348,0.10016358463727013,199.20364153627312,-0.11844950213371234,5.070825035561878,-1.0658392603129443,0.2193669985775249,-0.06851351351351351,,,219.93764580369844,-1.5035775248933074,0.07598150782361308,0.020526315789473684,180.76777382645804,0.09775960170696514
