,Unnamed: 0,空调光期温度设定,空调暗期温度设定,空调温度上限设定,空调温度下限设定,新风机手动开度,新风机手自动模式,空调自动模式,户外温度,户外湿度,1号室内温度,1号室内湿度,1号室内CO2浓度,2号室内温度,2号室内湿度,2号室内CO2浓度,1号PPFD,1号色温,1号PAR,1号红比,1号绿比,1号蓝比,2号PPFD,2号色温,2号PAR,2号红比,2号绿比,2号蓝比,3号PPFD,3号色温,3号PAR,3号红比,3号绿比,3号蓝比,1号风速,2号风速,营养液EC,营养液PH,营养液液温,空调手动开关机,空调开机指令下发,空调手动模式选择,空调风速选择,空调手动温度设定,空调手动操作指令下发,空调手自动切换,电磁阀手自动选择,电磁阀手动开阀,电磁阀手动关阀,time,平均温度,平均湿度,灯具负荷,自然负荷,新风负荷,总热渗入量
3081,3081,22.0,18.0,20.5,19.5,0.0,False,True,28.093170166015625,58.04397964477539,20.89999961853028,69.69999694824219,1826.0,19.89999961853028,72.4000015258789,1839.0,0.1795981973409652,7967.431640625,0.0417118296027183,9.731547355651855,87.32237243652344,2.946073532104492,0.3089759051799774,7718.603515625,0.0717957988381385,10.251150131225586,86.63129425048828,3.1175696849823,0.1707375347614288,7434.18798828125,0.0406953617930412,10.519471168518066,86.08702850341797,3.3935205936431885,0.0,0.0,1.6799999475479126,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 13:56:41.235540,20.39999961853028,71.04999923706055,0.0,5.485596025958056,5.485596025958056,10.971192051916113
3082,3082,22.0,18.0,20.5,19.5,0.0,False,True,27.79513931274414,56.90465545654297,20.89999961853028,73.9000015258789,1834.0,20.100000381469727,77.9000015258789,1846.0,0.1993367969989776,7967.431640625,0.0462321899831295,9.79783058166504,87.31563568115234,2.8866007328033447,0.197986826300621,7621.89501953125,0.0461075790226459,10.3060941696167,86.58647155761719,3.1075010299682617,0.1645566672086715,7440.908203125,0.0393396541476249,10.545695304870604,86.04438781738281,3.4099628925323486,0.0,0.0,1.649999976158142,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 13:57:42.188081,20.500000000000004,75.9000015258789,0.0,5.201780849103926,5.201780849103926,10.403561698207852
3083,3083,22.0,18.0,20.5,19.5,0.0,False,True,27.59838104248047,57.89207077026367,21.100000381469727,77.4000015258789,1839.0,20.299999237060547,80.80000305175781,1853.0,0.1850960999727249,7967.431640625,0.0428893826901912,9.776116371154783,87.3161392211914,2.907768487930298,0.2491451501846313,7648.150390625,0.0578909218311309,10.311768531799316,86.57191467285156,3.1163008213043213,0.1640122383832931,7460.80322265625,0.039003599435091,10.45523738861084,86.13773345947266,3.4070656299591064,0.0,0.0,1.6799999475479126,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 13:58:43.111660,20.699999809265137,79.10000228881836,0.0,4.918873492391109,4.918873492391109,9.837746984782218
3084,3084,22.0,18.0,20.5,19.5,0.0,False,True,27.79513931274414,59.19415283203125,21.299999237060547,79.80000305175781,1844.0,20.600000381469727,82.4000015258789,1860.0,0.2084134519100189,7967.431640625,0.048332892358303,9.778592109680176,87.3214340209961,2.9000256061553955,0.290855199098587,7707.76123046875,0.0677139908075332,10.236457824707031,86.64196014404297,3.1215755939483643,0.1679827123880386,7462.45458984375,0.0400886014103889,10.486878395080566,86.1063003540039,3.4068498611450195,0.0,0.2000000029802322,1.6799999475479126,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 13:59:44.062151,20.949999809265137,81.10000228881836,0.0,4.880909610106945,4.880909610106945,9.76181922021389
3085,3085,22.0,18.0,20.5,19.5,0.0,False,True,28.38830947875977,57.70760726928711,21.5,81.5999984741211,1849.0,21.0,83.5999984741211,1867.0,0.2121635973453521,7967.431640625,0.0492032989859581,9.824832916259766,87.27446746826172,2.9007599353790283,0.3015272319316864,7702.22998046875,0.070228599011898,10.27251148223877,86.60637664794922,3.1210973262786865,0.157597079873085,7459.2626953125,0.0376262813806533,10.42067050933838,86.17669677734375,3.402605056762696,0.0,0.0,1.690000057220459,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 14:00:45.048774,21.25,82.5999984741211,0.0,5.089953728055956,5.089953728055956,10.179907456111913
3086,3086,22.0,18.0,20.5,19.5,0.0,False,True,28.98147964477539,57.46527862548828,21.700000762939453,82.9000015258789,1856.0,21.200000762939453,84.5999984741211,1872.0,0.1962775439023971,7967.431640625,0.0455461591482162,9.88415241241455,87.20023345947266,2.915678262710572,0.2975698113441467,7698.74658203125,0.0691785290837287,10.240275382995604,86.63873291015625,3.120985984802246,0.1680998355150222,7438.0244140625,0.0400673523545265,10.499430656433104,86.1107406616211,3.3898305892944336,0.0,0.0,1.6799999475479126,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 14:01:46.037696,21.450000762939453,83.75,0.0,5.370302187995911,5.370302187995911,10.740604375991822
3087,3087,22.0,18.0,20.5,19.5,0.0,False,True,28.98147964477539,57.42911148071289,21.89999961853028,84.0,1862.0,21.5,85.4000015258789,1875.0,0.2027327418327331,7967.431640625,0.0471068732440471,9.914074897766112,87.17728424072266,2.9086251258850098,0.3014383018016815,7698.98046875,0.0701677128672599,10.289306640625,86.59227752685547,3.118462324142456,0.1686242222785949,7438.4013671875,0.0402822941541671,10.515463829040527,86.08843994140625,3.396079540252685,0.0,1.0,1.6799999475479126,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 14:02:47.016017,21.69999980926514,84.70000076293945,0.0,5.192040993010995,5.192040993010995,10.38408198602199
3088,3088,22.0,18.0,20.5,19.5,0.0,False,True,28.88309860229492,56.34041976928711,22.0,84.9000015258789,1865.0,21.799999237060547,86.0999984741211,1878.0,0.2048651129007339,7967.431640625,0.0475212484598159,9.822257995605469,87.28108215332031,2.8967297077178955,0.2820112407207489,7670.05029296875,0.0655297040939331,10.278802871704102,86.61713409423828,3.104054927825928,0.1615869551897049,7402.421875,0.0385405570268631,10.506601333618164,86.09901428222656,3.394395112991333,0.0,0.2000000029802322,1.6799999475479126,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 14:03:47.973669,21.899999618530273,85.5,0.0,4.97928127262592,4.97928127262592,9.95856254525184
3089,3089,22.0,18.0,20.5,19.5,0.0,False,True,28.69213104248047,59.25202178955078,22.299999237060547,85.69999694824219,1868.0,22.100000381469727,86.4000015258789,1880.0,0.2105585485696792,7967.431640625,0.0487007498741149,9.749780654907228,87.35896301269531,2.891292095184326,0.2891357839107513,7675.01513671875,0.0672394558787345,10.295595169067385,86.59429931640625,3.110124349594116,0.1615562289953231,7442.11572265625,0.0384952276945114,10.483441352844238,86.12544250488281,3.391142606735229,0.0,0.0,1.6799999475479126,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 14:04:48.796635,22.199999809265137,86.04999923706055,0.0,4.629197945516109,4.629197945516109,9.258395891032219
3090,3090,22.0,18.0,20.5,19.5,0.0,False,True,28.486690521240234,57.27719497680664,22.39999961853028,85.30000305175781,1873.0,22.299999237060547,84.9000015258789,1886.0,0.2097399234771728,7967.431640625,0.0485468804836273,9.754822731018066,87.34471130371094,2.900495767593384,0.2918612957000732,7701.74365234375,0.0678448602557182,10.214630126953123,86.66277313232422,3.122584819793701,0.1576371639966964,7423.83251953125,0.0375389009714126,10.442845344543455,86.17671203613281,3.3805394172668457,0.0,1.0,1.690000057220459,6.039999961853027,21.89999961853028,True,False,1,1,22.0,False,False,False,False,False,2023-04-10 14:05:49.897395,22.349999427795414,85.10000228881836,0.0,4.375752242453095,4.375752242453095,8.75150448490619
