,Unnamed: 0,空调光期温度设定,空调暗期温度设定,空调温度上限设定,空调温度下限设定,新风机手动开度,新风机手自动模式,空调自动模式,户外温度,户外湿度,1号室内温度,1号室内湿度,1号室内CO2浓度,2号室内温度,2号室内湿度,2号室内CO2浓度,1号PPFD,1号色温,1号PAR,1号红比,1号绿比,1号蓝比,2号PPFD,2号色温,2号PAR,2号红比,2号绿比,2号蓝比,3号PPFD,3号色温,3号PAR,3号红比,3号绿比,3号蓝比,1号风速,2号风速,营养液EC,营养液PH,营养液液温,空调手动开关机,空调开机指令下发,空调手动模式选择,空调风速选择,空调手动温度设定,空调手动操作指令下发,空调手自动切换,电磁阀手自动选择,电磁阀手动开阀,电磁阀手动关阀,time,平均温度,平均湿度,灯具负荷,自然负荷,新风负荷,总热渗入量
21901,21901,23.0,19.5,19.5,18.5,100.0,False,True,17.41897964477539,84.1326675415039,21.200000762939453,77.30000305175781,551.0,20.100000381469727,77.30000305175781,538.0,0.0151275722309947,8038.3896484375,0.0040346379391849,9.692668914794922,85.0017318725586,5.305567264556885,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0234793033450841,7182.12060546875,0.0068086944520473,9.12086009979248,86.53572845458984,4.343408107757568,1.100000023841858,1.0,1.7999999523162842,5.0,23.299999237060547,True,False,1,6,20.0,False,False,False,False,False,2023-04-25 12:02:00.825211,20.65000057220459,77.30000305175781,0,-2.303871394751072,-0.20944285406827925,-2.513314248819351
21902,21902,23.0,19.5,19.5,18.5,100.0,False,True,17.51736068725586,84.31351470947266,21.200000762939453,75.69999694824219,551.0,19.89999961853028,76.19999694824219,539.0,0.0156325604766607,8038.3896484375,0.0041718175634741,9.74206829071045,85.00030517578125,5.257598400115967,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0257605072110891,7129.9384765625,0.0074280328117311,9.37874984741211,86.2862777709961,4.334984302520752,1.100000023841858,0.8999999761581421,1.7799999713897705,5.0,23.299999237060547,True,False,1,5,20.0,True,False,False,False,False,2023-04-25 12:03:02.040857,20.550000190734867,75.94999694824219,0,-2.1624160163569477,-0.19658327421426797,-2.358999290571216
21903,21903,23.0,19.5,19.5,18.5,100.0,False,True,17.57522964477539,84.43286895751953,21.200000762939453,74.30000305175781,551.0,19.799999237060547,74.5999984741211,538.0,0.0130575997754931,7851.302734375,0.0034646936692297,9.363286972045898,85.24239349365234,5.394332408905029,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0224734228104352,7184.13916015625,0.0065375505946576,8.863855361938477,86.85151672363281,4.284615993499756,1.100000023841858,0.0,1.7799999713897705,5.0,23.299999237060547,True,False,1,5,20.0,False,False,False,False,False,2023-04-25 12:04:03.158532,20.5,74.45000076293945,0,-2.0855001898670196,-0.18959092635154723,-2.275091116218567
21904,21904,23.0,19.5,19.5,18.5,0.0,False,True,17.473957061767578,83.68778991699219,21.100000381469727,72.0,550.0,19.600000381469727,73.4000015258789,539.0,0.0147341405972838,7851.302734375,0.0039136763662099,9.497174263000488,85.28389739990234,5.218964576721191,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0236972514539957,7143.8857421875,0.0068590138107538,9.116140365600586,86.58628845214844,4.297582149505615,1.100000023841858,0.2000000029802322,1.7899999618530271,5.0,23.299999237060547,True,False,1,6,20.0,True,False,False,False,False,2023-04-25 12:05:04.267747,20.350000381469727,72.70000076293945,0,-2.0507554990053176,-2.0507554990053176,-4.101510998010635
21905,21905,23.0,19.5,19.5,18.5,0.0,False,True,17.28009033203125,84.43286895751953,21.0,69.9000015258789,550.0,19.5,74.30000305175781,538.0,0.0146004939451813,7901.509765625,0.0038726972416043,9.6294584274292,85.12638854980469,5.244104862213135,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0224603284150362,7255.8349609375,0.0065623307600617,8.974226951599121,86.70358276367188,4.322249889373779,1.100000023841858,0.0,1.7899999618530271,5.0,23.200000762939453,True,False,1,6,20.0,False,False,False,False,False,2023-04-25 12:06:05.369011,20.25,72.10000228881836,0,-2.117686663970947,-2.117686663970947,-4.235373327941894
21906,21906,23.0,19.5,19.5,18.5,0.0,False,True,17.317707061767578,84.17607116699219,20.89999961853028,69.80000305175781,550.0,19.299999237060547,74.30000305175781,537.0,0.0143898492678999,8030.54736328125,0.0038258724380284,9.498234748840332,85.13687896728516,5.364890098571777,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0229463297873735,7213.40380859375,0.0066615398973226,9.02828884124756,86.66523742675781,4.30652379989624,1.100000023841858,0.0,1.7899999618530271,5.019999980926514,23.200000762939453,True,False,3,2,20.0,True,False,False,False,False,2023-04-25 12:07:06.496383,20.099999427795414,72.05000305175781,0,-1.983906615865233,-1.983906615865233,-3.967813231730466
21907,21907,23.0,19.5,19.5,18.5,0.0,False,True,17.24826431274414,84.68243408203125,20.89999961853028,70.5999984741211,550.0,19.299999237060547,77.30000305175781,536.0,0.0165008921176195,8030.54736328125,0.0044290833175182,9.611644744873049,85.1946029663086,5.193769931793213,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0237176623195409,7139.3828125,0.0068712187930941,9.198974609375,86.49423217773438,4.30677604675293,1.100000023841858,0.2000000029802322,1.7899999618530271,5.019999980926514,23.200000762939453,True,False,3,2,20.0,False,False,False,False,False,2023-04-25 12:08:07.664258,20.099999427795414,73.95000076293945,0,-2.033422594449523,-2.033422594449523,-4.066845188899046
21908,21908,23.0,19.5,19.5,18.5,0.0,False,True,17.07465362548828,84.28819274902344,20.89999961853028,73.5,550.0,19.39999961853028,79.30000305175781,536.0,0.016495106741786,7854.212890625,0.004441734869033,9.768446922302246,84.99901580810547,5.232543468475342,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.024379288777709,7140.9150390625,0.0070867552421987,9.262011528015137,86.40992736816406,4.328072547912598,1.100000023841858,0.0,1.7999999523162842,5.019999980926514,23.200000762939453,True,False,3,2,20.0,True,False,False,False,False,2023-04-25 12:09:08.720300,20.14999961853028,76.4000015258789,0,-2.192867771973615,-2.192867771973615,-4.38573554394723
21909,21909,23.0,19.5,19.5,18.5,0.0,False,True,16.932872772216797,85.05136108398438,20.89999961853028,75.19999694824219,550.0,19.600000381469727,80.69999694824219,537.0,0.0154946837574243,7854.212890625,0.0041447672992944,9.646148681640623,85.07381439208984,5.280038833618164,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.024229310452938,7092.89794921875,0.0070456741377711,9.394100189208984,86.32403564453125,4.281890392303467,1.100000023841858,0.0,1.7899999618530271,5.019999980926514,23.200000762939453,True,False,3,2,20.0,False,False,False,False,False,2023-04-25 12:10:09.821286,20.250000000000004,77.94999694824219,0,-2.365269276952746,-2.365269276952746,-4.730538553905492
21910,21910,23.0,19.5,19.5,18.5,0.0,False,True,16.932872772216797,85.546875,20.89999961853028,76.30000305175781,550.0,19.700000762939453,81.30000305175781,538.0,0.0150204887613654,8005.56640625,0.0040038446895778,9.268648147583008,85.4503402709961,5.281009674072266,0.0139448391273617,0.0,0.0,0.0,0.0,0.0,0.0251898802816867,7286.21923828125,0.007337684277445,8.675273895263672,87.02403259277344,4.300732135772705,1.0,0.2000000029802322,1.7899999618530271,5.019999980926514,23.200000762939453,True,False,1,6,20.0,True,False,False,False,False,2023-04-25 12:11:11.038871,20.300000190734867,78.80000305175781,0,-2.4009217879557636,-2.4009217879557636,-4.801843575911527
