Date,Time,Group,Pixel,Area,Plant,Area per plant,No.
2023-04-25,02:36:20,3-upper,741931,1433.73,10,143.37,7
2023-04-25,02:36:28,1-mid,927066,1656.03,9,184.00,8
2023-04-25,02:36:37,1-lower,778516,1321.55,11,120.14,9
2023-04-25,03:10:25,2-lower,626741,1050.44,12,87.54,0
2023-04-25,03:10:34,2-mid,959830,1588.61,11,144.42,1
2023-04-25,03:10:42,1-upper,740256,1321.89,10,132.19,2
2023-04-25,03:10:51,2-upper,691734,1235.24,11,112.29,3
2023-04-25,03:11:00,3-lower,330635,561.09,10,56.11,4
2023-04-25,03:11:08,3-mid,818244,1371.20,12,114.27,5
2023-04-25,03:11:17,3-upper,749165,1447.71,10,144.77,7
2023-04-25,03:11:25,1-mid,930679,1662.48,9,184.72,8
2023-04-25,03:11:34,1-lower,780265,1324.52,11,120.41,9
2023-04-25,03:45:24,2-lower,624539,1046.75,12,87.23,0
2023-04-25,03:45:33,2-mid,963347,1594.43,11,144.95,1
2023-04-25,03:45:42,1-upper,735629,1313.62,10,131.36,2
2023-04-25,03:45:51,2-upper,687095,1226.96,11,111.54,3
2023-04-25,03:45:59,3-lower,328340,557.19,10,55.72,4
2023-04-25,03:46:08,3-mid,818252,1371.21,12,114.27,5
2023-04-25,03:46:17,3-upper,745433,1440.50,10,144.05,7
2023-04-25,03:46:25,1-mid,929415,1660.22,9,184.47,8
2023-04-25,03:46:33,1-lower,779361,1322.99,11,120.27,9
2023-04-25,16:05:11,2-lower,447502,750.03,12,62.50,0
2023-04-25,16:05:20,2-mid,804940,1332.25,11,121.11,1
2023-04-25,16:05:29,1-upper,691110,1234.12,10,123.41,2
2023-04-25,16:05:38,2-upper,660052,1178.66,11,107.15,3
2023-04-25,16:05:47,3-lower,308579,523.66,10,52.37,4
2023-04-25,16:05:56,3-mid,782418,1311.16,12,109.26,5
2023-04-25,16:06:05,3-upper,808038,1561.48,10,156.15,7
2023-04-25,16:06:14,1-mid,874078,1561.37,9,173.49,8
2023-04-25,16:06:25,1-lower,862404,1463.96,11,133.09,9
2023-04-25,16:40:34,2-lower,679046,1138.11,12,94.84,0
2023-04-25,16:40:43,2-mid,819330,1356.07,11,123.28,1
2023-04-25,16:40:52,1-upper,736679,1315.50,10,131.55,2
2023-04-25,16:41:01,2-upper,656467,1172.26,11,106.57,3
