Date,Time,Group,Pixel,Area,Plant,Area per plant,No.,
2023/5/20,3:00:24,2-upper,565230,1009.34,9,112.15,3,2593
2023/5/20,3:00:39,3-lower,814892,1382.87,10,138.29,4,2594
2023/5/20,3:00:52,3-mid,841441,1410.07,12,117.51,5,2595
2023/5/20,3:01:05,3-upper,629437,1216.34,9,135.15,7,2596
2023/5/20,3:01:18,1-mid,722432,1290.49,9,143.39,8,2597
2023/5/20,3:31:44,2-lower,837102,1403.02,12,116.92,0,2599
2023/5/20,3:32:08,1-upper,673707,1203.05,9,133.67,2,2601
2023/5/20,3:32:22,2-upper,568512,1015.2,9,112.8,3,2602
2023/5/20,3:32:35,3-lower,818604,1389.17,10,138.92,4,2603
2023/5/20,3:32:48,3-mid,844878,1415.83,12,117.99,5,2604
2023/5/20,3:33:01,3-upper,633183,1223.58,9,135.95,7,2605
2023/5/20,3:33:13,1-mid,719349,1284.98,9,142.78,8,2606
2023/5/20,4:03:39,2-lower,840906,1409.39,12,117.45,0,2608
2023/5/20,4:04:09,1-upper,676908,1208.76,9,134.31,2,2610
2023/5/20,4:04:30,2-upper,571370,1020.3,9,113.37,3,2611
2023/5/20,4:04:45,3-lower,822351,1395.52,10,139.55,4,2612
2023/5/20,4:05:04,3-mid,846337,1418.28,12,118.19,5,2613
2023/5/20,4:05:22,3-upper,636532,1230.06,9,136.67,7,2614
2023/5/20,4:05:46,1-mid,722595,1290.78,9,143.42,8,2615
2023/5/20,4:36:18,2-lower,830627,1392.17,12,116.01,0,2617
2023/5/20,4:36:45,1-upper,679772,1213.88,9,134.88,2,2619
2023/5/20,4:36:58,2-upper,574061,1025.11,9,113.9,3,2620
2023/5/20,4:37:10,3-lower,826221,1402.09,10,140.21,4,2621
2023/5/20,4:37:23,3-mid,847835,1420.79,12,118.4,5,2622
2023/5/20,4:37:36,3-upper,639473,1235.74,9,137.3,7,2623
2023/5/20,4:37:48,1-mid,725944,1296.76,9,144.08,8,2624
2023/5/20,5:08:13,2-lower,835433,1400.22,12,116.69,0,2626
2023/5/20,5:08:38,1-upper,681473,1216.92,9,135.21,2,2628
2023/5/20,5:08:51,2-upper,577336,1030.96,9,114.55,3,2629
2023/5/20,5:09:03,3-lower,830251,1408.93,10,140.89,4,2630
2023/5/20,5:09:16,3-mid,850271,1424.87,12,118.74,5,2631
2023/5/20,5:09:29,3-upper,642842,1242.25,9,138.03,7,2632
2023/5/20,5:09:41,1-mid,728845,1301.94,9,144.66,8,2633
2023/5/20,5:40:07,2-lower,838121,1404.73,12,117.06,0,2635
2023/5/20,5:40:34,1-upper,686780,1226.39,9,136.27,2,2637
2023/5/20,5:40:50,2-upper,580993,1037.49,9,115.28,3,2638
2023/5/20,5:41:04,3-lower,803500,1363.53,10,136.35,4,2639
2023/5/20,5:41:18,3-mid,849642,1423.81,12,118.65,5,2640
2023/5/20,5:41:31,3-upper,642939,1242.44,9,138.05,7,2641
2023/5/20,5:41:43,1-mid,732159,1307.86,9,145.32,8,2642
2023/5/20,6:12:10,2-lower,841499,1410.39,12,117.53,0,2644
2023/5/20,6:12:37,1-upper,690613,1233.24,9,137.03,2,2646
2023/5/20,6:12:50,2-upper,585722,1045.93,9,116.21,3,2647
2023/5/20,6:13:03,3-lower,808359,1371.78,10,137.18,4,2648
2023/5/20,6:13:16,3-mid,853005,1429.45,12,119.12,5,2649
2023/5/20,6:13:28,3-upper,647746,1251.73,9,139.08,7,2650
2023/5/20,6:13:41,1-mid,736866,1316.27,9,146.25,8,2651
2023/5/20,6:44:07,2-lower,807654,1353.66,12,112.81,0,2653
2023/5/20,6:44:36,1-upper,693643,1238.65,9,137.63,2,2655
2023/5/20,6:44:49,2-upper,590077,1053.71,9,117.08,3,2656
2023/5/20,6:45:02,3-lower,812629,1379.03,10,137.9,4,2657
2023/5/20,6:45:15,3-mid,854999,1432.79,12,119.4,5,2658
2023/5/20,6:45:27,3-upper,651312,1258.62,9,139.85,7,2659
2023/5/20,6:45:43,1-mid,740860,1323.4,9,147.04,8,2660
2023/5/20,7:16:09,2-lower,811973,1360.9,12,113.41,0,2662
2023/5/20,7:16:35,1-upper,696226,1243.26,9,138.14,2,2664
2023/5/20,7:16:48,2-upper,589886,1053.37,9,117.04,3,2665
2023/5/20,7:17:00,3-lower,816613,1385.79,10,138.58,4,2666
2023/5/20,7:17:13,3-mid,840926,1409.21,12,117.43,5,2667
2023/5/20,7:17:27,3-upper,654468,1264.72,9,140.52,7,2668
2023/5/20,7:17:39,1-mid,743884,1328.81,9,147.65,8,2669
2023/5/20,7:48:05,2-lower,817588,1370.31,12,114.19,0,2671
2023/5/20,7:48:30,1-upper,689094,1230.52,9,136.72,2,2673
2023/5/20,7:48:43,2-upper,598240,1068.29,9,118.7,3,2674
2023/5/20,7:48:56,3-lower,823121,1396.83,10,139.68,4,2675
2023/5/20,7:49:09,3-mid,845924,1417.58,12,118.13,5,2676
2023/5/20,7:49:22,3-upper,661687,1278.67,9,142.07,7,2677
2023/5/20,7:49:35,1-mid,751324,1342.1,9,149.12,8,2678
2023/5/20,8:20:01,2-lower,821035,1376.09,12,114.67,0,2680
2023/5/20,8:20:34,1-upper,690675,1233.35,9,137.04,2,2682
2023/5/20,8:20:51,2-upper,600370,1072.09,9,119.12,3,2683
2023/5/20,8:21:05,3-lower,824542,1399.24,10,139.92,4,2684
2023/5/20,8:21:18,3-mid,847750,1420.64,12,118.39,5,2685
2023/5/20,8:21:31,3-upper,658181,1271.89,9,141.32,7,2686
2023/5/20,8:21:44,1-mid,740705,1323.13,9,147.01,8,2687
2023/5/20,8:52:11,2-lower,824013,1381.08,12,115.09,0,2689
2023/5/20,8:52:33,1-upper,692925,1237.37,9,137.49,2,2691
2023/5/20,18:01:16,2-lower,832945,1396.05,12,116.34,0,2692
2023/5/20,18:01:43,1-upper,720377,1286.39,9,142.93,2,2694
2023/5/20,18:02:03,2-upper,608956,1087.42,9,120.82,3,2695
2023/5/20,18:02:16,3-lower,771472,1309.18,10,130.92,4,2696
2023/5/20,18:02:29,3-mid,859420,1440.2,12,120.02,5,2697
2023/5/20,18:02:41,3-upper,661751,1278.79,9,142.09,7,2698
2023/5/20,18:02:53,1-mid,756366,1351.1,9,150.12,8,2699
2023/5/20,18:33:22,2-lower,810472,1358.39,12,113.2,0,2701
2023/5/20,18:33:44,1-upper,702990,1255.34,9,139.48,2,2703
2023/5/20,18:33:56,2-upper,614054,1096.52,9,121.84,3,2704
2023/5/20,18:34:07,3-lower,781134,1325.58,10,132.56,4,2705
2023/5/20,18:34:21,3-mid,844062,1414.46,12,117.87,5,2706
2023/5/20,18:34:33,3-upper,667103,1289.13,9,143.24,7,2707
2023/5/20,18:34:44,1-mid,761163,1359.67,9,151.07,8,2708
2023/5/20,19:05:07,2-lower,817436,1370.06,12,114.17,0,2710
2023/5/20,19:05:29,1-upper,710489,1268.73,9,140.97,2,2712
2023/5/20,19:05:40,2-upper,624472,1115.13,9,123.9,3,2713
2023/5/20,19:05:51,3-lower,786543,1334.76,10,133.48,4,2714
2023/5/20,19:06:03,3-mid,841716,1410.53,12,117.54,5,2715
2023/5/20,19:06:14,3-upper,675012,1304.42,9,144.94,7,2716
2023/5/20,19:06:25,1-mid,767658,1371.27,9,152.36,8,2717
2023/5/20,19:36:48,2-lower,759210,1272.47,12,106.04,0,2719
2023/5/20,19:37:10,1-upper,715988,1278.55,9,142.06,2,2721
2023/5/20,19:37:21,2-upper,634685,1133.37,9,125.93,3,2722
2023/5/20,19:37:33,3-lower,788456,1338,10,133.8,4,2723
2023/5/20,19:37:44,3-mid,837508,1403.48,12,116.96,5,2724
2023/5/20,19:37:55,3-upper,675916,1306.16,9,145.13,7,2725
2023/5/20,19:38:06,1-mid,772762,1380.39,9,153.38,8,2726
2023/5/20,20:08:29,2-lower,770556,1291.49,12,107.62,0,2728
2023/5/20,20:08:41,2-mid,676826,1120.21,9,124.47,1,2729
2023/5/20,20:08:54,1-upper,720639,1286.86,9,142.98,2,2730
2023/5/20,20:09:09,2-upper,642024,1146.47,9,127.39,3,2731
2023/5/20,20:09:21,3-lower,792773,1345.33,10,134.53,4,2732
2023/5/20,20:09:33,3-mid,831943,1394.15,12,116.18,5,2733
2023/5/20,20:09:46,3-upper,682576,1319.03,9,146.56,7,2734
2023/5/20,20:09:59,1-mid,763882,1364.53,9,151.61,8,2735
2023/5/20,20:40:28,2-lower,773287,1296.06,12,108.01,0,2737
2023/5/20,20:40:39,2-mid,678765,1123.42,9,124.82,1,2738
2023/5/20,20:40:50,1-upper,702690,1254.8,9,139.42,2,2739
2023/5/20,20:41:02,2-upper,642580,1147.46,9,127.5,3,2740
2023/5/20,20:41:13,3-lower,797066,1352.62,10,135.26,4,2741
2023/5/20,20:41:24,3-mid,832788,1395.57,12,116.3,5,2742
2023/5/20,20:41:36,3-upper,687044,1327.67,9,147.52,7,2743
2023/5/20,20:41:47,1-mid,768335,1372.48,9,152.5,8,2744
2023/5/20,21:12:12,2-lower,778395,1304.62,12,108.72,0,2746
2023/5/20,21:12:23,2-mid,683067,1130.54,9,125.62,1,2747
2023/5/20,21:12:37,1-upper,705608,1260.01,9,140,2,2748
2023/5/20,21:12:49,2-upper,647810,1156.8,9,128.53,3,2749
2023/5/20,21:13:00,3-lower,756809,1284.3,10,128.43,4,2750
2023/5/20,21:13:13,3-mid,835604,1400.29,12,116.69,5,2751
2023/5/20,21:13:24,3-upper,690950,1335.21,9,148.36,7,2752
2023/5/20,21:13:35,1-mid,773288,1381.33,9,153.48,8,2753
2023/5/20,21:43:57,2-lower,783150,1312.59,12,109.38,0,2755
2023/5/20,21:44:08,2-mid,687463,1137.81,9,126.42,1,2756
2023/5/20,21:44:20,1-upper,708857,1265.82,9,140.65,2,2757
2023/5/20,21:44:31,2-upper,646827,1155.05,9,128.34,3,2758
2023/5/20,21:44:42,3-lower,760780,1291.04,10,129.1,4,2759
2023/5/20,21:44:53,3-mid,837667,1403.75,12,116.98,5,2760
2023/5/20,21:45:04,3-upper,693036,1339.25,9,148.81,7,2761
2023/5/20,21:45:15,1-mid,777777,1389.35,9,154.37,8,2762
2023/5/20,22:15:40,2-lower,787865,1320.5,12,110.04,0,2764
