Date,Time,Group,Pixel,Area,Plant,Area per plant,No.,
2023/5/21,5:35:34,2-lower,807893,1354.06,12,112.84,0,2862
2023/5/21,5:35:45,2-mid,731474,1210.66,9,134.52,1,2863
2023/5/21,5:36:00,1-upper,708004,1264.29,9,140.48,2,2864
2023/5/21,5:36:11,2-upper,667721,1192.36,9,132.48,3,2865
2023/5/21,5:36:23,3-lower,802096,1361.15,10,136.12,4,2866
2023/5/21,5:36:34,3-mid,860827,1442.56,12,120.21,5,2867
2023/5/21,5:36:45,3-upper,706967,1366.17,9,151.8,7,2868
2023/5/21,5:36:56,1-mid,787707,1407.09,9,156.34,8,2869
2023/5/21,6:07:19,2-lower,812055,1361.04,12,113.42,0,2871
2023/5/21,6:07:30,2-mid,735627,1217.53,9,135.28,1,2872
2023/5/21,6:07:42,1-upper,712918,1273.07,9,141.45,2,2873
2023/5/21,6:07:54,2-upper,671314,1198.77,9,133.2,3,2874
2023/5/21,6:08:06,3-lower,758765,1287.62,10,128.76,4,2875
2023/5/21,6:08:18,3-mid,861190,1443.17,12,120.26,5,2876
2023/5/21,6:08:31,3-upper,699830,1352.37,9,150.26,7,2877
2023/5/21,6:08:43,1-mid,791001,1412.97,9,157,8,2878
2023/5/21,6:39:07,2-lower,763982,1280.47,12,106.71,0,2880
2023/5/21,6:39:18,2-mid,736690,1219.29,9,135.48,1,2881
2023/5/21,6:39:29,1-upper,713218,1273.6,9,141.51,2,2882
2023/5/21,6:39:40,2-upper,679228,1212.91,9,134.77,3,2883
2023/5/21,6:39:51,3-lower,764498,1297.35,10,129.73,4,2884
2023/5/21,6:40:07,3-mid,865646,1450.63,12,120.89,5,2885
2023/5/21,6:40:19,3-upper,706806,1365.85,9,151.76,7,2886
2023/5/21,6:40:32,1-mid,796104,1422.09,9,158.01,8,2887
2023/5/21,7:10:56,2-lower,770144,1290.79,12,107.57,0,2889
2023/5/21,7:11:07,2-mid,740337,1225.33,9,136.15,1,2890
2023/5/21,7:11:18,1-upper,714244,1275.44,9,141.72,2,2891
2023/5/21,7:11:30,2-upper,669905,1196.26,9,132.92,3,2892
2023/5/21,7:11:41,3-lower,765943,1299.8,10,129.98,4,2893
2023/5/21,7:11:53,3-mid,849300,1423.24,12,118.6,5,2894
2023/5/21,7:12:05,3-upper,706330,1364.93,9,151.66,7,2895
2023/5/21,7:12:17,1-mid,795834,1421.61,9,157.96,8,2896
2023/5/21,7:42:40,2-lower,770446,1291.3,12,107.61,0,2898
2023/5/21,7:42:51,2-mid,739098,1223.28,9,135.92,1,2899
2023/5/21,7:43:02,1-upper,715413,1277.52,9,141.95,2,2900
2023/5/21,7:43:14,2-upper,672084,1200.15,9,133.35,3,2901
2023/5/21,7:43:25,3-lower,767929,1303.17,10,130.32,4,2902
2023/5/21,7:43:36,3-mid,850657,1425.52,12,118.79,5,2903
2023/5/21,7:43:47,3-upper,706990,1366.21,9,151.8,7,2904
2023/5/21,7:43:59,1-mid,798399,1426.19,9,158.47,8,2905
2023/5/21,8:14:22,2-lower,772538,1294.81,12,107.9,0,2907
2023/5/21,8:14:34,2-mid,742616,1229.1,9,136.57,1,2908
2023/5/21,8:14:45,1-upper,714109,1275.19,9,141.69,2,2909
2023/5/21,8:14:57,2-upper,673296,1202.31,9,133.59,3,2910
2023/5/21,8:15:08,3-lower,770453,1307.45,10,130.75,4,2911
2023/5/21,8:15:20,3-mid,851970,1427.72,12,118.98,5,2912
2023/5/21,8:15:33,3-upper,707480,1367.16,9,151.91,7,2913
2023/5/21,8:15:45,1-mid,799717,1428.54,9,158.73,8,2914
2023/5/21,8:46:11,2-lower,774577,1298.22,12,108.19,0,2916
2023/5/21,8:46:22,2-mid,745833,1234.42,9,137.16,1,2917
2023/5/21,8:46:34,1-upper,715748,1278.12,9,142.01,2,2918
2023/5/21,8:46:45,2-upper,674622,1204.68,9,133.85,3,2919
2023/5/21,8:46:56,3-lower,773101,1311.95,10,131.19,4,2920
2023/5/21,8:47:09,3-mid,853260,1429.88,12,119.16,5,2921
2023/5/21,8:47:20,3-upper,708693,1369.5,9,152.17,7,2922
2023/5/21,8:47:31,1-mid,800630,1430.17,9,158.91,8,2923
